area,name,taxable_income_million_yen,income_taxpayers,fiscal_year
11239,坂戸市,155966.0,47706.0,2022
11240,幸手市,69925.0,22806.0,2022
11241,鶴ヶ島市,118288.0,34160.0,2022
11242,日高市,81556.0,25777.0,2022
11243,吉川市,125371.0,35816.0,2022
11245,ふじみ野市,207463.0,55877.0,2022
11246,白岡市,91590.0,25653.0,2022
11301,伊奈町,74909.0,21753.0,2022
11324,三芳町,63575.0,18065.0,2022
11326,毛呂山町,44672.0,15100.0,2022
11327,越生町,15646.0,5258.0,2022
11341,滑川町,31658.0,9353.0,2022
11342,嵐山町,25118.0,8455.0,2022
11343,小川町,39198.0,13428.0,2022
11346,川島町,26913.0,9145.0,2022
11347,吉見町,25670.0,8771.0,2022
11348,鳩山町,18570.0,6130.0,2022
11349,ときがわ町,13787.0,4818.0,2022
11361,横瀬町,10855.0,3645.0,2022
11362,皆野町,11980.0,4279.0,2022
11363,長瀞町,8778.0,2973.0,2022
11365,小鹿野町,13255.0,4916.0,2022
11369,東秩父村,3204.0,1171.0,2022
11381,美里町,14435.0,4918.0,2022
11383,神川町,16715.0,6001.0,2022
11385,上里町,42082.0,14458.0,2022
11408,寄居町,43338.0,15027.0,2022
11442,宮代町,50919.0,15985.0,2022
11464,杉戸町,66484.0,20563.0,2022
11465,松伏町,42258.0,13535.0,2022
12000,千葉県,11471868.0,3117561.0,2022
12100,千葉市,1896750.0,484361.0,2022
12101,中央区,,,2022
12102,花見川区,,,2022
12103,稲毛区,,,2022
12104,若葉区,,,2022
12105,緑区,,,2022
12106,美浜区,,,2022
12202,銚子市,78569.0,26219.0,2022
12203,市川市,1081441.0,267037.0,2022
12204,船橋市,1256096.0,329204.0,2022
12205,館山市,59556.0,20026.0,2022
12206,木更津市,234689.0,66195.0,2022
12207,松戸市,920134.0,251193.0,2022
12208,野田市,231767.0,72850.0,2022
12210,茂原市,126896.0,41437.0,2022
12211,成田市,218861.0,66250.0,2022
12212,佐倉市,299552.0,82972.0,2022
12213,東金市,80342.0,26649.0,2022
12215,旭市,90470.0,29702.0,2022
12216,習志野市,358830.0,88742.0,2022
12217,柏市,820956.0,213875.0,2022
12218,勝浦市,19301.0,6732.0,2022
12219,市原市,450645.0,132534.0,2022
12220,流山市,416340.0,102412.0,2022
12221,八千代市,373304.0,100329.0,2022
12222,我孫子市,233728.0,63959.0,2022
12223,鴨川市,44611.0,14762.0,2022
12224,鎌ケ谷市,180943.0,53391.0,2022
12225,君津市,129683.0,40440.0,2022
12226,富津市,60092.0,19769.0,2022
12227,浦安市,441321.0,93065.0,2022
12228,四街道市,160119.0,45563.0,2022
12229,袖ケ浦市,109307.0,31609.0,2022
12230,八街市,89454.0,31201.0,2022
12231,印西市,196097.0,50028.0,2022
12232,白井市,109512.0,29747.0,2022
12233,富里市,72622.0,24242.0,2022
12234,南房総市,41555.0,15109.0,2022
12235,匝瑳市,46056.0,15460.0,2022
12236,香取市,98552.0,32864.0,2022
12237,山武市,62102.0,21734.0,2022
12238,いすみ市,44590.0,15508.0,2022
12239,大網白里市,72195.0,22349.0,2022
12322,酒々井町,29830.0,9574.0,2022
12329,栄町,27591.0,9527.0,2022
12342,神崎町,7801.0,2707.0,2022
12347,多古町,20752.0,6139.0,2022
12349,東庄町,17832.0,5887.0,2022
12403,九十九里町,18094.0,6292.0,2022
12409,芝山町,11788.0,3083.0,2022
12410,横芝光町,28529.0,9722.0,2022
12421,一宮町,18305.0,5407.0,2022
12422,睦沢町,8449.0,2978.0,2022
12423,長生村,18187.0,6231.0,2022
12424,白子町,12988.0,4515.0,2022
12426,長柄町,8270.0,2861.0,2022
12427,長南町,9102.0,3389.0,2022
12441,大多喜町,9862.0,3634.0,2022
12443,御宿町,8900.0,3037.0,2022
12463,鋸南町,8551.0,3059.0,2022
13000,東京都,36396521.0,7397433.0,2022
13100,特別区部,27740324.0,5255287.0,2022
13101,千代田区,438352.0,40710.0,2022
13102,中央区,786357.0,103350.0,2022
13103,港区,2149578.0,146093.0,2022
13104,新宿区,1133910.0,189283.0,2022
13105,文京区,858902.0,128613.0,2022
13106,台東区,560968.0,118508.0,2022
13107,墨田区,655880.0,157242.0,2022
13108,江東区,1389759.0,288411.0,2022
13109,品川区,1313406.0,238160.0,2022
13110,目黒区,1117179.0,163269.0,2022
13111,大田区,1876202.0,414906.0,2022
13112,世田谷区,3072064.0,509404.0,2022
13113,渋谷区,1356324.0,135621.0,2022
13114,中野区,899947.0,194168.0,2022
13115,杉並区,1637706.0,326767.0,2022
13116,豊島区,787990.0,162488.0,2022
13117,北区,781727.0,191410.0,2022
13118,荒川区,461878.0,114123.0,2022
13119,板橋区,1194003.0,305609.0,2022
13120,練馬区,1724767.0,389891.0,2022
13121,足立区,1273315.0,346954.0,2022
